text,urgency,authority,fear,impersonation,cleaned_text
The project documentation has been updated on the wiki.,0,0,0,0,The project documentation has been updated on the wiki.
"Hello, would you like to grab coffee next Tuesday?",0,0,0,0,"Hello, would you like to grab coffee next Tuesday?"
Don't forget the milk on your way home.,0,0,0,0,Don't forget the milk on your way home.
Urgent message from your bank: Claim your reward now.,1,0,0,1,Urgent message from your bank: Claim your reward now.
Action Required: Unusual login attempt from Russia. Secure your account.,1,0,1,0,Action Required: Unusual login attempt from Russia. Secure your account.
Please find the attached agenda for tomorrow's meeting.,0,0,0,0,Please find the attached agenda for tomorrow's meeting.
IMMEDIATE: Your subscription is cancelled. Pay now to avoid data loss.,1,0,1,0,IMMEDIATE: Your subscription is cancelled. Pay now to avoid data loss.
This is IT support. We need your password to fix your mailbox.,0,1,0,1,This is IT support. We need your password to fix your mailbox.
"Hi, this is Mark from Finance. Can you send me the Q4 revenue report?",0,1,0,1,"Hi, this is Mark from Finance. Can you send me the Q4 revenue report?"
Meeting reminder: Weekly Sync at 10 AM.,0,0,0,0,Meeting reminder: Weekly Sync at 10 AM.
"Dear Employee, This is the CEO. Please wire $5000 to this account for a secret project.",1,1,0,1,"Dear Employee, This is the CEO. Please wire $5000 to this account for a secret project."
Department of Justice: You are subpoenaed. View the case file here.,1,1,1,0,Department of Justice: You are subpoenaed. View the case file here.
"Hey, are we still on for the movie tonight?",0,0,0,0,"Hey, are we still on for the movie tonight?"
Internal Memo: HR requires your SSN for the new benefits portal.,0,1,0,1,Internal Memo: HR requires your SSN for the new benefits portal.
Emergency: Your child was in an accident. Send insurance details.,1,0,1,1,Emergency: Your child was in an accident. Send insurance details.
"Hi mom, I lost my phone. Can you send me some money for a new one?",1,0,0,1,"Hi mom, I lost my phone. Can you send me some money for a new one?"
Can you review this pull request when you have a moment?,0,0,0,0,Can you review this pull request when you have a moment?
You have a new voicemail. Listen here.,0,0,0,0,You have a new voicemail. Listen here.
Urgent: Your account will be locked in 1 hour if you don't verify.,1,0,1,0,Urgent: Your account will be locked in 1 hour if you don't verify.
Your order has been shipped. Track it here.,0,0,0,0,Your order has been shipped. Track it here.
Police Dept: Unpaid traffic violation found. Pay or face arrest.,1,1,1,0,Police Dept: Unpaid traffic violation found. Pay or face arrest.
